TransactionID,TransactionDate,Amount,Currency,Country,Description,fa_key
9E8A808F82034E32,2026-08-23,19996.45,AUD,CA,FX settlement,FA-006721
544D98205583516D,2026-08-13,11047.06,JPY,IN,Refund - disputed txn,FA-004812
FE78E6DAB28038DF,2026-08-09,87649.26,AUD,IN,Revenue recognition,FA-003948
4CC1E0FD07A98B17,2026-08-12,31469.33,AUD,FR,Interest income - Q1,FA-003277
39C0405043A28B2A,2026-08-24,82423.75,USD,DE,FX settlement,FA-002119
39500ED21745631A,2026-08-11,127.57,GBP,DE,Dividend payout,FA-005938
FC7B4F2A304C4290,2026-08-05,93533.53,CAD,HK,Refund - disputed txn,FA-003725
6705525A63D09FB7,2026-08-22,2709.2,CAD,US,Deposit interest,FA-000490
465A686E80177A05,2026-08-14,77960.24,AUD,SG,Advisory fee,FA-004181
81D1C1C07995D03B,2026-08-24,8084.02,JPY,CA,Consulting fee,FA-003177
22B74811A7CA8872,2026-08-01,41797.53,INR,FR,Deposit interest,FA-004432
B1D2E2C54ACD1B8A,2026-08-03,81763.14,USD,AU,Loan disbursement,FA-006757
18170C10A766D280,2026-08-27,58432.29,AUD,CH,Subscription renewal,FA-004586
06CECB8F9C6C5630,2026-08-25,86818.06,CAD,JP,Processing charge,FA-005656
021764B0EEC0A23A,2026-08-20,88702.77,GBP,FR,Consulting fee,FA-006117
89C62280081FF9C6,2026-08-18,65229.61,CAD,US,Dividend payout,FA-004911
983116CE85E5169D,2026-08-13,34586.73,CHF,FR,Subscription renewal,FA-003136
1D8CE44FFA960D1A,2026-08-31,6117.06,GBP,CA,Commission - trade,FA-006467
8945DE8A9C7B9753,2026-08-04,99826.98,USD,CH,Loan disbursement,FA-001692
00D75DFD672B0EC6,2026-08-22,346.05,CAD,CA,Dividend payout,FA-004782
6FBD7F0444986CB3,2026-08-11,27331.63,JPY,JP,Processing charge,FA-001196
0E3B04E02912C867,2026-08-05,49327.62,CHF,DE,Dividend payout,FA-004524
CD95566F061D17C6,2026-08-07,41767.27,INR,SG,Tax withholding,FA-003350
93D1CC0A26BDDEAD,2026-08-27,4094.34,CAD,CH,Advisory fee,FA-002199
3C4E61417BD73BA1,2026-08-27,82103.42,CAD,FR,FX settlement,FA-006251
44DF8829D01185E9,2026-08-03,34012.16,EUR,IN,Consulting fee,FA-000815
10ECA1F196618EC7,2026-08-31,59912.25,JPY,SG,FX settlement,FA-000026
14E4B19726522A67,2026-08-04,12662.27,AUD,CH,Refund - disputed txn,FA-003821
E3891C93243CB03F,2026-08-22,46648.31,EUR,IN,Vendor payment,FA-006305
B9BD416558A6AF32,2026-08-23,12215.21,CHF,FR,Asset purchase,FA-004858
12FFBBD3D87FCBAA,2026-08-19,42820.22,JPY,AU,Interest income - Q1,FA-001821
0FE9543FCC76E361,2026-08-01,67355.03,GBP,CA,Insurance premium,FA-003315
A252F9EFC0EF32F7,2026-08-16,46794.55,CAD,SG,Payroll disbursement,FA-000851
EBE6CC2C067C0808,2026-08-31,31779.78,JPY,HK,Refund - disputed txn,FA-000576
BC6CFB059B03E422,2026-08-06,99358.03,CHF,SG,Refund - disputed txn,FA-004970
69E25C260C9D4E50,2026-08-14,65910.73,USD,DE,Service fee - monthly,FA-001784
EBF30FC1194A9E9B,2026-08-12,20749.24,GBP,HK,Subscription renewal,FA-005396
8504B92059A4B581,2026-08-12,94406.37,CHF,SG,Asset purchase,FA-004502
9F161046021385FE,2026-08-21,12216.42,CHF,DE,Dividend payout,FA-006637
5048F38E6690223E,2026-08-07,69177.38,CHF,CA,Revenue recognition,FA-003054
AFBCF454DC45E772,2026-08-28,97148.22,CHF,CA,Tax withholding,FA-006107
C8BC468A05CE8E91,2026-08-22,70553.9,USD,FR,Loan disbursement,FA-002743
757B0650B704F920,2026-08-21,46153.95,GBP,DE,Service fee - monthly,FA-000659
59988EEFECAECBEA,2026-08-19,57826.3,CHF,FR,Payroll disbursement,FA-002050
4333C1B177008843,2026-08-21,80614.2052,GBP,CA,FX settlement,FA-003803
