gl_account_id,ma_customer_key,fa_key,entity,effective_from,effective_to
ACC0001,CUS-000001,FA-000001,Global,2022-01-01,2099-12-31
ACC0002,CUS-000002,FA-000002,Global,2022-01-01,2099-12-31
ACC0003,CUS-000003,FA-000003,Global,2022-01-01,2099-12-31
ACC0004,CUS-000004,FA-000004,Global,2022-01-01,2099-12-31
ACC0005,CUS-000005,FA-000005,Global,2022-01-01,2099-12-31
ACC0006,CUS-000006,FA-000006,Global,2022-01-01,2099-12-31
ACC0007,CUS-000007,FA-000007,Global,2022-01-01,2099-12-31
ACC0008,CUS-000008,FA-000008,Global,2022-01-01,2099-12-31
ACC0009,CUS-000009,FA-000009,Global,2022-01-01,2099-12-31
ACC0010,CUS-000010,FA-000010,Global,2022-01-01,2099-12-31
ACC0011,CUS-000011,FA-000011,Global,2022-01-01,2099-12-31
ACC0012,CUS-000012,FA-000012,Global,2022-01-01,2099-12-31
ACC0013,CUS-000013,FA-000013,Global,2022-01-01,2099-12-31
ACC0014,CUS-000014,FA-000014,Global,2022-01-01,2099-12-31
ACC0015,CUS-000015,FA-000015,Global,2022-01-01,2099-12-31
ACC0016,CUS-000016,FA-000016,Global,2022-01-01,2099-12-31
ACC0017,CUS-000017,FA-000017,Global,2022-01-01,2099-12-31
ACC0018,CUS-000018,FA-000018,Global,2022-01-01,2099-12-31
ACC0019,CUS-000019,FA-000019,Global,2022-01-01,2099-12-31
ACC0020,CUS-000020,FA-000020,Global,2022-01-01,2099-12-31
ACC0021,CUS-000021,FA-000021,Global,2022-01-01,2099-12-31
ACC0022,CUS-000022,FA-000022,Global,2022-01-01,2099-12-31
ACC0023,CUS-000023,FA-000023,Global,2022-01-01,2099-12-31
ACC0024,CUS-000024,FA-000024,Global,2022-01-01,2099-12-31
ACC0025,CUS-000025,FA-000025,Global,2022-01-01,2099-12-31
ACC0026,CUS-000026,FA-000026,Global,2022-01-01,2099-12-31
ACC0027,CUS-000027,FA-000027,Global,2022-01-01,2099-12-31
ACC0028,CUS-000028,FA-000028,Global,2022-01-01,2099-12-31
ACC0029,CUS-000029,FA-000029,Global,2022-01-01,2099-12-31
ACC0030,CUS-000030,FA-000030,Global,2022-01-01,2099-12-31
ACC0031,CUS-000031,FA-000031,Global,2022-01-01,2099-12-31
ACC0032,CUS-000032,FA-000032,Global,2022-01-01,2099-12-31
ACC0033,CUS-000033,FA-000033,Global,2022-01-01,2099-12-31
ACC0034,CUS-000034,FA-000034,Global,2022-01-01,2099-12-31
ACC0035,CUS-000035,FA-000035,Global,2022-01-01,2099-12-31
ACC0036,CUS-000036,FA-000036,Global,2022-01-01,2099-12-31
ACC0037,CUS-000037,FA-000037,Global,2022-01-01,2099-12-31
ACC0038,CUS-000038,FA-000038,Global,2022-01-01,2099-12-31
ACC0039,CUS-000039,FA-000039,Global,2022-01-01,2099-12-31
ACC0040,CUS-000040,FA-000040,Global,2022-01-01,2099-12-31
ACC0041,CUS-000041,FA-000041,Global,2022-01-01,2099-12-31
